Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
4.3,24,48,2,29081
3.9,8,8,1,29111
4.2,29,29,1,29121
3.6,32,32,1,29131
4.3,54,54,1,29132
2.41,12.5,100,8,29141
4,25,25,1,29151
4.3,24,48,2,29161
3.8,33,33,1,29171
4,53,53,1,29177
4.6,9,9,1,29181
4.7,23,46,2,29191
3.8,20,20,1,29201
4.1,7,7,1,29211
3.5,39,78,2,29231
4.6,11,11,1,29261
4.1,38,76,2,29291
4.2,66,66,1,29301
3.4,16,16,1,29311
4.2,232,464,2,29331
4,16,16,1,29345
3.5,16,16,1,29371
4,45,90,2,29401
4.2,9,9,1,29411
5,4,4,1,29494
4.13,276.33,829,3,29514
4.7,479,958,2,29539
4.5,122,122,1,29551
4.1,98,98,1,29962
4.3,17,34,2,29966
4.4,20,20,1,30031
4.2,5,10,2,30051
4.5,14,14,1,30071
4.3,8,16,2,30081
4.8,18,36,2,30101
5,4,4,1,30121
3.41,1003.89,9035,9,30142
4.4,842.5,1685,2,30144
4.7,21,21,1,30270
4.2,274,822,3,30598
4.5,406,406,1,30737
4.6,1787,3574,2,30743
4.6,126.86,888,7,30853
3.5,636.5,1273,2,30962
3.75,649.25,5194,8,31036
3.75,649.25,2597,4,31037
0,0,0,2,31071
4.2,126,252,2,31079
3.6,20,40,2,31081
1.8,10,20,2,31082
4.3,807,807,1,31100
2.5,8,8,1,31101
3.7,3,3,1,31111
4.43,11.33,34,3,31141
3.4,19,19,1,31151
3.1,7,7,1,31161
4.7,11,11,1,31181
4.4,646,646,1,31190
4.4,30,30,1,31211
3.8,5,10,2,31221
4.3,614,614,1,31223
2.5,15,30,2,31251
3.9,31.5,63,2,31261
3.5,24,24,1,31281
3.87,90.33,271,3,31563
4.3,385,385,1,31675
4.5,198,396,2,31749
4.2,102,102,1,31758
4.6,56,56,1,31782
4.7,35,35,1,31999
4.5,12,24,2,32011
4,22,22,1,32021
4.3,37,37,1,32031
3.9,21,21,1,32081
4.4,349,349,1,32111
4.3,257,257,1,32236
4.3,237,474,2,32246
4.4,206,206,1,32261
4.57,90.67,544,6,32350
4.7,168,168,1,32359
4.3,2392,2392,1,32388
4.3,2392,2392,1,32394
4.3,47,94,2,32672
4.6,134,402,3,32728
4.4,106,106,1,32761
4,267,267,1,32834
4.5,544,544,1,32843
4.45,246,492,2,32881
4.3,183,183,1,32939
4.55,696.5,1393,2,33114
4,19,19,1,33141
4.43,387,2322,6,33196
4.7,34,34,1,33267
4.5,14,14,1,33349
4,76,76,1,33440
4,28,28,1,33473
4.3,102,102,1,33511
2.1,5,20,4,33554
4.3,59,59,1,34078
3,11,11,1,34135
2.7,250,250,1,34139
3,56,56,1,34146
3.2,827,827,1,34169
3.95,796,1592,2,34183
4,991,991,1,34185
3,215,430,2,34199
3.8,225,225,1,34203
3.3,141,141,1,34205
3.5,7217,7217,1,34211
3.3,141,141,1,34212
3.5,7220,7220,1,34219
4.5,436,436,1,34224
3.11,1151.71,8062,7,34227
3.5,7217,7217,1,34228
3.3,141,141,1,34229
2.1,40,40,1,34244
4.7,302,604,2,34305
4,16.25,65,4,34512
3,1,2,2,34777
3.2,14,14,1,35062
4.05,392.5,785,2,35088
4.16,57.6,288,5,35095
4.3,193.5,774,4,35448
4.4,182,728,4,35522
4.5,207,207,1,35640
4.2,138,138,1,35697
4.7,55,55,1,35960
4.4,158.5,317,2,35999
4.8,348,696,2,36126
5,1,1,1,36194
4.1,874,3496,4,36240
4.7,280,280,1,36251
4.27,687,4122,6,36306
4.3,304,304,1,36411
3.95,1295.5,2591,2,36651
3.4,461.5,1846,4,36690
4.5,150,300,2,36760
4.6,335,335,1,36890
4.1,447.5,895,2,36908
4.1,131,262,2,36997
4.1,358,716,2,37002
