Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
3.41,1003.89,9035,9,2245990
4.64,10.2,51,5,2246281
4.2,191,382,2,2246291
3.7,338,338,1,2246375
4.55,502.5,1005,2,2246700
3.4,272,544,2,2246913
4.3,100,200,2,2246914
3.7,164,164,1,2247014
5,3,3,1,2247035
4.1,111,111,1,2247131
3.98,422.25,1689,4,2247144
3.9,66,198,3,2247259
0,0,0,1,2247279
3.9,302,906,3,2247280
4.1,7,7,1,2247646
4.4,160,160,1,2252182
4.4,74,74,1,2252227
4.95,10.5,21,2,2252238
4.7,138,138,1,2252317
4.6,476,952,2,2252373
4.35,363,2178,6,2252378
4,104,104,1,2252421
4.2,446,446,1,2252464
4.4,59,59,1,2252586
5,1,1,1,2252731
4.8,21,21,1,2252810
4.6,652,1304,2,2252841
4.2,329.5,1977,6,2252854
4.2,19,19,1,2252940
5,2,2,1,2253003
3.02,73.75,295,4,2253092
4,366,366,1,2253109
4.4,81,243,3,2253875
4.6,576,1152,2,2254274
4.6,160,160,1,2254328
4.55,98.5,394,4,2256139
3.1,64,128,2,2256141
4.2,241,241,1,2256167
4.3,35,35,1,2256339
4.3,35,35,1,2256343
5,2,8,4,2256362
4.2,69,69,1,2261715
0,0,0,1,2261728
4.6,922,2766,3,2261729
2.75,4.5,9,2,2261733
4.5,235,235,1,2261760
1.5,2,8,4,2261769
1.65,3.5,7,2,2261902
4.5,78,156,2,2262202
4.4,5,10,2,2262326
4.3,107,107,1,2262414
4.5,38,38,1,2262449
4.4,2790,5580,2,2262496
4,425.6,2128,5,2262504
4.5,6334,6334,1,2262538
4.4,30,30,1,2262550
4,3.5,14,4,2262582
4.4,50,50,1,2262709
4.3,195,390,2,2263063
4.3,1544,3088,2,2263086
4.7,167,167,1,2263249
4.1,10,10,1,2263322
4.35,202.5,405,2,2263359
4.2,84,168,2,2263388
4.3,857,3428,4,2263707
4.12,261,2088,8,2263755
4.4,1324,2648,2,2263820
4.2,88,88,1,2263913
4.9,9,9,1,2264071
4.3,1825,1825,1,2269538
4.37,550.33,1651,3,2269546
4.2,388,776,2,2269677
3.6,67,134,2,2269719
3.65,1110.5,8884,8,2269750
4.4,91,91,1,2269773
3.8,9,9,1,2269786
4.2,118,118,1,2270074
3.76,49.2,246,5,2270363
3.8,32,64,2,2270539
4.3,15,15,1,2270795
2.25,261,1044,4,2271049
5,2,2,1,2271327
3.85,47.25,378,8,2271372
4.7,178,178,1,2271391
4.7,151,302,2,2271468
4.12,468,1872,4,2271532
4.8,24,48,2,2271575
3.1,7,14,2,2275640
4.1,158,316,2,2277360
4.7,367,367,1,2277659
3.11,229.71,1608,7,2277942
3.9,9,9,1,2278073
4.3,81,81,1,2278083
4.22,137.5,1100,8,2278129
4.33,157,1413,9,2278380
4.3,6,6,1,2278549
4.5,1054.5,2109,2,2278606
4.5,2,2,1,2278738
4.8,219,219,1,2278775
4.7,6,18,3,2278844
2.5,0.5,1,2,2278892
3.9,137,274,2,2278971
3.5,24,24,1,2278990
4.28,171.5,686,4,2279085
4.37,550.33,1651,3,2279357
4.4,706,1412,2,2279520
4.7,64,64,1,2279559
4.5,276,276,1,2279587
4.12,476.75,1907,4,2283151
4.55,472.5,2835,6,2283190
4.7,377,754,2,2283297
1.95,325.5,651,2,2283419
5,1,2,2,2283491
3.7,58,58,1,2283505
4.67,1166.67,3500,3,2283633
2.4,13,13,1,2283660
4.26,579.14,4054,7,2283731
4.5,1374,1374,1,2283740
2,2,2,1,2283942
4,162,162,1,2283990
4.1,18,36,2,2284138
2.1,33.5,134,4,2284190
2.8,3618.5,7237,2,2284205
4.3,7,7,1,2284235
4.7,133,266,2,2284509
4.8,164,164,1,2284574
4.7,12140.5,24281,2,2284601
4.9,113,113,1,2284770
5,1,1,1,2285637
5,5,5,1,2288717
4.36,459.11,4132,9,2288724
4.7,70,140,2,2288846
4.2,132,396,3,2288887
5,4,4,1,2288917
3.6,17,34,2,2289372
4.3,56,112,2,2289423
3.6,82,82,1,2289500
0,0,0,1,2289511
4.5,162,324,2,2289529
4.4,122,122,1,2289648
3.2,43,43,1,2289672
4.5,185,185,1,2289758
3.82,3.75,30,8,2289930
0,0,0,1,2289949
4.8,457.33,2744,6,2292935
4.75,84,168,2,2292951
4.3,6,6,1,2292977
4.3,272,272,1,2293013
5,1,2,2,2293158
3.8,428,856,2,2293205
4.4,190,190,1,2293377
4.7,1398,1398,1,2293432
4.3,1151,6906,6,2293438
4.3,465.5,2793,6,2293477
4.5,212,1060,5,2293616
4.7,45,45,1,2293664
3.54,63.4,317,5,2293678
4.22,359.25,1437,4,2293742
4.4,345.33,1036,3,2293785
4.4,861.33,2584,3,2293793
4.3,240,240,1,2293828
4.2,104,104,1,2293923
4.2,240,960,4,2293964
4.5,163,163,1,2294053
4.3,534,1602,3,2294115
4.1,270,540,2,2294209
4.35,188,376,2,2294282
4.3,1123,1123,1,2294320
4.42,566.5,4532,8,2294414
4.55,1091.5,6549,6,2294432
4,3.5,7,2,2297638
4.3,30,30,1,2298245
4.3,476.33,2858,6,2298254
4.6,837,1674,2,2298331
3.83,33.33,100,3,2298574
4.37,135.33,812,6,2298648
4.35,1039,4156,4,2298672
4.1,82,82,1,2298680
4.5,513,1026,2,2298788
3.17,2,6,3,2298795
4.83,178,534,3,2298931
4.4,95,95,1,2299015
4.2,118,236,2,2299016
4.1,359.71,2518,7,2299087
4.3,6,12,2,2299098
4.6,2575,7725,3,2299114
4.42,286.5,1719,6,2299287
4.4,1431,1431,1,2299314
4.3,154,154,1,2299323
4.43,229,1603,7,2299372
3.8,83,249,3,2299403
4.2,158,158,1,2299419
4.5,1822,1822,1,2299421
3.93,144.67,434,3,2299453
4.25,570.5,1141,2,2299483
4.1,782,782,1,2299544
4.3,85,85,1,2303640
4.27,114.33,343,3,2303642
3.2,11.4,57,5,2303648
4.4,205,205,1,2303679
4.7,208,208,1,2303910
4.35,162,324,2,2304020
3.95,70,140,2,2304021
3.8,104,104,1,2304080
3,203,406,2,2304183
0,0,0,1,2304218
4.5,52,104,2,2304295
3.55,14.5,29,2,2304347
3.8,51,153,3,2304353
4.13,293.22,2639,9,2304412
4.6,797,1594,2,2304433
4.9,9.5,19,2,2304443
4.6,346,346,1,2304448
4.1,370,370,1,2304532
4.6,146,292,2,2304548
4.3,59,118,2,2304565
4.7,11,11,1,2304630
3.1,10,20,2,2304660
4.3,390,390,1,2304669
4.53,158.25,633,4,2304676
4.18,310.75,1243,4,2304698
4.2,37,111,3,2304758
4.55,502.5,2010,4,2307779
4.2,165,330,2,2307841
4.1,22,44,2,2307861
4.6,1199,2398,2,2307956
4,137,411,3,2308003
4.35,171.5,686,4,2308079
4.6,233,699,3,2308185
4.13,293.22,2639,9,2308390
3.77,200.71,1405,7,2308553
4,136,136,1,2308634
3.85,629.5,2518,4,2308673
4.1,342,684,2,2308713
4.4,1394,2788,2,2308791
2.5,22,22,1,2308804
4.5,87,174,2,2308821
4.3,281,562,2,2309017
4.3,857,3428,4,2309057
4.57,38.33,230,6,2309077
4.3,500,1000,2,2309083
2.5,13,13,1,2309126
4,91,182,2,2309128
4.5,28,56,2,2309173
4.1,2179.5,17436,8,2309244
4.8,79,79,1,2309274
3.88,395.5,1582,4,2313630
3.9,323,969,3,2313672
3.1,389,1167,3,2313695
3.9,2250,2250,1,2313729
4,197,591,3,2313773
4.4,149,298,2,2313774
4.4,81,81,1,2313776
4.5,200,200,1,2313790
4.3,106,106,1,2313831
4,198,198,1,2313846
4.6,204,204,1,2314105
3.9,119.5,239,2,2314109
4.28,120,480,4,2314248
4.7,232,464,2,2314367
4.6,17,51,3,2314597
4.2,23,23,1,2314598
4.1,543.86,3807,7,2314740
4,17,17,1,2314756
5,2,2,1,2314947
4.6,1100,1100,1,2319777
3.9,15,15,1,2319834
4.3,695,695,1,2319888
3.8,266.5,1599,6,2319925
3.7,3,3,1,2319944
4,152,152,1,2319968
4.2,75,75,1,2320063
3.6,347,1388,4,2320094
4.15,627,2508,4,2320298
4.4,27,27,1,2320433
4.3,95,285,3,2320481
4.1,26,52,2,2320520
4.3,339,678,2,2320536
4.6,460,920,2,2320557
4.55,503,3018,6,2320734
4.36,219.71,1538,7,2320900
4.15,187.5,1125,6,2320986
5,8,8,1,2321003
4.8,5,5,1,2321004
4.3,64,64,1,2321025
4.6,79,79,1,2321213
4.8,21,21,1,2321232
4.3,38,76,2,2321636
4.3,72,72,1,2321637
3.75,16,32,2,2321642
4.48,156,780,5,2326452
4.6,107,107,1,2326478
4.5,186,372,2,2326495
3.24,35.57,249,7,2326530
4.3,119,119,1,2326704
0,0,0,1,2326729
4.27,136.67,410,3,2326906
4.8,52,52,1,2326923
4.2,67,67,1,2326934
4.45,405.5,811,2,2326936
4.1,160,320,2,2327015
4.7,112,112,1,2327216
3.2,31,31,1,2327225
3.6,70,70,1,2327382
4.3,157.75,1262,8,2327396
4.3,792,792,1,2327841
3.6,87,87,1,2327892
4.4,362,362,1,2328137
4.1,298,298,1,2328308
3.94,139.4,697,5,2328350
4.5,323,969,3,2328390
4.1,555,1110,2,2328466
3.8,124,124,1,2328475
4.4,103,206,2,2328569
4.1,536,1608,3,2333013
4.2,133,133,1,2333110
4.1,1257,10056,8,2333153
4.2,78,78,1,2333218
4.55,132.5,265,2,2333281
4.65,204.5,818,4,2333306
4.2,140,140,1,2333405
3,9,9,1,2333480
3.7,9,9,1,2333586
4.6,398,796,2,2333622
4.15,96,192,2,2333768
4.4,231,231,1,2333891
4.6,48,96,2,2333907
3.9,28,28,1,2333939
4.35,136,816,6,2334077
4.5,976,976,1,2334079
4.25,467,934,2,2334190
2.8,168,336,2,2334226
3.1,16,32,2,2334436
3.1,16,16,1,2334438
2,73,292,4,2334608
3.1,16,16,1,2334637
4.4,211,211,1,2334691
4,648,1944,3,2334704
4.4,65,65,1,2334804
3.7,5,10,2,2334806
3.9,77,77,1,2340250
4.8,1228,1228,1,2340288
3.52,6.6,33,5,2340365
4.7,254,254,1,2340467
4.36,459.11,4132,9,2340600
4.3,140,280,2,2340636
1.9,47.5,95,2,2340712
3.9,70,70,1,2340833
4.2,382,382,1,2340941
4.33,663,3978,6,2340972
4.8,624,1248,2,2341038
4.6,157,314,2,2341067
4.4,876,876,1,2341098
3.58,90.8,454,5,2341133
4.5,255,255,1,2341554
4.1,109,109,1,2341566
4.3,142,142,1,2341662
3.9,176,176,1,2341734
4.4,177,708,4,2341742
4.63,108.33,325,3,2342222
4.1,110,110,1,2342293
4.47,12.5,75,6,2342341
3.55,51.25,410,8,2348481
4.6,142,142,1,2348486
4.4,126,126,1,2348564
4.3,470,940,2,2348608
4.1,286,286,1,2348658
4.6,275,825,3,2348660
3.7,105.6,528,5,2348764
4.3,625,1250,2,2348801
4.38,1584,6336,4,2348814
4.4,143,143,1,2348864
1.94,30.4,152,5,2348926
0,0,0,1,2349062
4.3,193,193,1,2349092
4.7,483,966,2,2349134
4.55,307.25,2458,8,2349184
4,192,384,2,2349338
4.2,129,129,1,2349434
4.6,107,107,1,2349549
4.27,912.14,6385,7,2349559
4.2,148,148,1,2349597
4.4,9,9,1,2350040
4.7,26,26,1,2350089
4.7,26,26,1,2350090
4.2,167,167,1,2350104
4.6,38,38,1,2350106
5,1,1,1,2350120
4.7,26,26,1,2350124
4.6,217,217,1,2350228
3.9,10,10,1,2350277
4.6,196,196,1,2350500
4.7,956,1912,2,2350514
3.7,38,38,1,2353804
3.95,8.5,34,4,2353850
5,2,4,2,2353879
4.27,453.33,1360,3,2353971
4.3,739,739,1,2353982
4.3,8267.5,16535,2,2354185
4.5,195,390,2,2354303
4.3,101,101,1,2354522
4.2,182,182,1,2354653
4.3,6,6,1,2354720
4,563,2252,4,2354772
4.1,84,84,1,2354911
4.2,5,5,1,2354949
4,23,23,1,2354960
5,4,8,2,2355004
5,6,6,1,2355013
2,4,4,1,2355027
4.2,811,811,1,2355041
4.5,233,466,2,2355130
4.6,9,18,2,2355266
4.35,19,76,4,2355372
4,174,348,2,2358510
4.5,98,98,1,2358697
4.5,601,601,1,2358717
3.6,167,334,2,2358905
4.1,77,154,2,2358944
4.5,6,6,1,2358971
4.8,1595,3190,2,2358986
4.2,568,1136,2,2359057
4.5,164,328,2,2359065
4.07,361.67,2170,6,2359087
4,71,71,1,2359124
4.5,1092,1092,1,2359271
3.9,39,117,3,2359305
4.7,171,171,1,2359449
4.4,97,97,1,2359484
4,1,1,1,2359655
4.2,435,435,1,2359721
4.1,151,151,1,2359772
4.9,11,11,1,2359949
4.9,8,8,1,2359976
4.5,228,456,2,2360064
3.9,737.5,4425,6,2360132
4.4,370,740,2,2362719
4.3,80,80,1,2362721
4.4,1657,3314,2,2362814
4.1,26,26,1,2362926
4.6,107,214,2,2362994
3.98,848.2,4241,5,2363040
4.2,2970,8910,3,2363260
4.2,120,240,2,2363299
4.1,219,219,1,2363438
4.5,139,139,1,2363516
5,5,15,3,2363607
4.3,1302,2604,2,2363760
4.1,836,3344,4,2363763
3.8,225,225,1,2363766
4.7,15,15,1,2363775
4.6,184,184,1,2363811
4.2,195,1170,6,2363817
5,2,4,2,2363848
4.2,263,263,1,2363853
4.2,521,1042,2,2363903
3.5,520.5,2082,4,2364148
3.92,7163,42978,6,2364149
5,1,1,1,2364202
4.1,165,165,1,2364283
4.6,506,1012,2,2364308
4.5,179,358,2,2364363
4.7,190,380,2,2368037
4.5,724,724,1,2368161
4.3,394,788,2,2368444
4.35,790.5,1581,2,2368519
4.5,477,954,2,2368572
4.2,35,35,1,2368584
4.5,781,781,1,2368604
4.07,252,1008,4,2368636
4.5,830,2490,3,2368662
4.5,22,22,1,2368727
4.55,81.5,163,2,2368764
4.6,239,717,3,2368771
4.25,157.33,944,6,2368877
4.45,136,272,2,2368906
4.3,238,238,1,2369039
4.5,511,511,1,2369189
4.1,237,474,2,2369214
4.4,7,14,2,2372990
4.35,1054.5,8436,8,2373504
4.2,506,506,1,2373509
4.47,101.67,305,3,2373553
4.5,43.4,217,5,2373569
4.7,272,544,2,2373621
4.2,86,86,1,2373782
3.8,268,268,1,2373791
4.5,67,201,3,2373871
4.1,208,416,2,2373877
4.5,302,906,3,2373905
3.65,454.5,909,2,2373965
3.75,1.25,5,4,2374057
4.8,23,46,2,2374127
4.4,107.5,215,2,2374149
4.3,370,370,1,2374277
3.75,309.25,1237,4,2374386
1.95,242.5,485,2,2374411
4.8,188,376,2,2374443
5,5,10,2,2374641
4.6,1049,2098,2,2374705
4.5,102,102,1,2374778
4.5,346.67,1040,3,2374782
4.5,193,193,1,2374812
4.23,417.67,1253,3,2374830
4.6,10,10,1,2378655
4.4,722,722,1,2378918
4.32,75.8,379,5,2378922
4,41,41,1,2378966
4.6,143,286,2,2379022
0,0,0,2,2379063
3.7,86,172,2,2379132
4.7,1086,2172,2,2379193
3.7,2002,4004,2,2379275
4.2,641,641,1,2379360
4.9,33,66,2,2379398
4.3,806,4836,6,2379419
4.6,314,314,1,2379479
4,499,499,1,2379489
4.6,576,576,1,2379509
4.2,1499,1499,1,2379582
4.2,277,554,2,2379666
4.5,865,1730,2,2379689
4.7,12,12,1,2379693
4.43,190,570,3,2379813
4.8,18,18,1,2379836
4.6,276,276,1,2379881
4.25,920.5,5523,6,2379885
4.4,101.5,406,4,2379981
4.55,1474.5,2949,2,2379985
4.6,1273,1273,1,2380010
4.4,89,178,2,2380125
4.4,90,180,2,2380171
4.1,127,254,2,2384861
4.1,127,127,1,2384862
4.9,15,15,1,2384872
4.78,561,3366,6,2384880
4.6,426,1704,4,2384884
4.8,12,12,1,2384887
3.43,17.33,52,3,2384914
4.7,412,412,1,2385153
0,0,0,1,2385214
4.07,519.33,1558,3,2385331
4.3,139,278,2,2385343
4.4,17,17,1,2385432
4.4,17,17,1,2385445
4.4,6,12,2,2385468
4.6,9,27,3,2385539
4.1,702,702,1,2385577
4.3,420,420,1,2385581
4.2,62,62,1,2385635
4.4,70,70,1,2385718
5,1,2,2,2385784
4.1,756,1512,2,2385822
4.4,78,78,1,2385982
4.27,514.67,1544,3,2386016
4.2,353,1412,4,2386048
4,63,63,1,2386079
4.1,259,259,1,2386130
4.4,732,732,1,2386160
4.6,245,245,1,2386163
4.2,184,184,1,2386305
5,2,4,2,2386307
4.2,21,21,1,2390567
2.9,7,14,2,2390629
4.5,476,1904,4,2390678
4.05,22.5,90,4,2390685
5,6,12,2,2390702
4.12,281.4,1407,5,2390709
4.53,710.67,2132,3,2390733
4.2,6,6,1,2390806
3.8,124,124,1,2390818
4.4,9,9,1,2390821
4.1,237,237,1,2390841
4.3,56,224,4,2391062
4.3,9,9,1,2391128
4.3,232,464,2,2391267
4.6,260,260,1,2391299
4.4,1428,1428,1,2391368
4.1,412,412,1,2391404
4,374,748,2,2391409
4.2,881.5,1763,2,2391427
4,67,67,1,2391595
3.9,413,413,1,2391658
4.45,265.5,1062,4,2391792
4.4,81,81,1,2391797
3.87,90.33,271,3,2391815
4.1,9,9,1,2391863
4.4,477,477,1,2391883
4.4,419,419,1,2391894
3.7,6,6,1,2391948
4.37,115,345,3,2391990
4.5,261,261,1,2392091
5,3,6,2,2394824
4.6,68,68,1,2394836
4.2,776,776,1,2397077
4.2,31,31,1,2397132
3.41,1003.89,9035,9,2397248
4.6,42,42,1,2397260
4.1,432,864,2,2397406
4.1,116,116,1,2397411
4.5,75,75,1,2397487
4,534,1602,3,2397504
4.2,267,534,2,2397526
4,408,408,1,2397586
4.5,372,744,2,2397621
4.13,157.33,944,6,2397687
4.7,24,24,1,2397765
4.15,83,498,6,2397771
4.15,596,1192,2,2397786
4.5,867,867,1,2397818
4.6,358,716,2,2397858
0,0,0,1,2397869
4.4,321.5,643,2,2397933
4.5,145,290,2,2397958
0,0,0,1,2397972
4.4,240,480,2,2398055
4.2,2236,2236,1,2398070
3.25,291.75,1167,4,2398073
3.8,51,51,1,2398106
4,144,432,3,2398107
3.1,13,13,1,2398168
3.55,7.75,31,4,2398197
4.5,248,248,1,2398218
4.4,248,496,2,2398224
4.5,616,1232,2,2398278
4.4,61,61,1,2398295
4.2,9,18,2,2398351
4.6,381,762,2,2398386
4.48,156,780,5,2398421
3.7,67,67,1,2398424
4.29,136.43,955,7,2398495
3.5,17,51,3,2398535
5,12,12,1,2398661
4.7,147,441,3,2398675
4.3,2392,2392,1,2398872
4.5,84,168,2,2398940
4.5,1239,1239,1,2398966
4,110.33,331,3,2398974
4.13,293.22,2639,9,2398985
4.4,634,1268,2,2404371
4.4,205.33,616,3,2404396
4.3,436,872,2,2404416
4.2,31,31,1,2404445
3.95,86.5,692,8,2404453
4.5,660.43,4623,7,2404472
0,0,0,1,2404612
0,0,0,1,2404614
2.5,0.5,1,2,2404637
4.4,317,317,1,2404658
3.4,12,12,1,2404664
4.3,75,75,1,2404689
4.2,154,308,2,2404722
3.6,104,208,2,2404726
4.13,298.67,896,3,2404773
4.3,141,141,1,2404779
4.15,736.5,1473,2,2404807
4.4,344,344,1,2404809
4.8,91,91,1,2404837
3.4,17,17,1,2404838
4.25,30,60,2,2404914
4.25,30,60,2,2404920
2.33,363.75,1455,4,2404980
4.4,449,449,1,2405009
4.05,611.5,2446,4,2405150
4.4,103,103,1,2405183
4.5,114,228,2,2405204
4.1,18,18,1,2405322
3.61,326,2608,8,2405444
4.3,75,75,1,2405492
1.65,2,12,6,2405544
2.5,6,12,2,2405576
4.5,152,152,1,2405772
4.8,6,6,1,2405784
4.4,113,339,3,2405902
4.7,106,212,2,2405989
4.5,146,146,1,2411072
4,217,217,1,2411109
4.3,527.5,2110,4,2411112
3.6,151,302,2,2411114
3.9,48,96,2,2411278
4.2,309,309,1,2411298
4.87,6.67,40,6,2411336
4.4,233.33,1400,6,2411367
4.75,543,1086,2,2411382
4.4,244,732,3,2411443
4.3,233,233,1,2411546
4,2,6,3,2411560
3.9,234,234,1,2411583
4.88,3.75,15,4,2411687
4.2,140,140,1,2411694
4.3,402,402,1,2411708
4.7,143,286,2,2411850
4.6,126,378,3,2411859
4.4,163,163,1,2411984
3.5,2,2,1,2412015
4.8,132.5,265,2,2412069
4.4,2166.5,8666,4,2412107
4.9,135,135,1,2412170
3.2,5,5,1,2412171
4.37,1087,3261,3,2412215
4.4,382,382,1,2412224
4,301,301,1,2412225
5,10,20,2,2412330
3.9,69,69,1,2412388
4.4,61,61,1,2412444
4.6,518,1036,2,2412516
4.4,1265,1265,1,2412589
4.2,97,194,2,2412626
3.97,610,2440,4,2412662
4.7,17,17,1,2412676
4.35,58,116,2,2412692
4.25,324,648,2,2417850
3.27,14,42,3,2418085
4.1,70,70,1,2418091
4.65,240,480,2,2418112
4.5,115,115,1,2418173
0,0,0,1,2418232
4.1,149,298,2,2418239
4,116,232,2,2418304
4.9,27,27,1,2418331
4,42,42,1,2418389
3.8,16.5,33,2,2418463
0,0,0,2,2418468
5,1,1,1,2418532
3.7,52,52,1,2418601
4.2,309,309,1,2418653
4.65,247.5,495,2,2418661
3.1,8,8,1,2418662
4.8,242,242,1,2418748
4.15,86.5,173,2,2418778
4.7,91,364,4,2418820
2.87,42.33,127,3,2418863
4.3,141,141,1,2418878
4.6,45,90,2,2418930
4.4,139,139,1,2418971
4.5,395,395,1,2419016
4.6,14,14,1,2419138
4.17,480.33,1441,3,2419192
4.2,40,40,1,2419340
4.15,233.25,933,4,2419364
4.15,233.25,933,4,2419367
4.15,233.25,933,4,2419371
4.3,32.5,130,4,2419390
4.45,72.5,435,6,2419423
4.3,1616,8080,5,2419450
4.5,586,586,1,2419455
4.6,1801,1801,1,2419621
3.96,330.75,2646,8,2422771
4.4,3519,3519,1,2422780
5,9,9,1,2422792
4.4,382,764,2,2422801
3.75,57,114,2,2422811
4.6,452,904,2,2422889
4.4,1107,2214,2,2422910
3.2,17,17,1,2422972
3.5,80,80,1,2422984
4.2,61,183,3,2422991
5,15,15,1,2423005
3.7,46,46,1,2423096
4.5,6,6,1,2423163
5,6,6,1,2423189
4.45,744.5,1489,2,2423192
4.1,186,186,1,2423223
4.2,106,106,1,2423278
3.15,600.25,2401,4,2423280
4.1,165,165,1,2423338
4,161.5,646,4,2423352
2.5,2,4,2,2423435
4.7,155,155,1,2423441
4,31,62,2,2423474
4.3,43,43,1,2423478
4.5,229,229,1,2423493
3.2,5,5,1,2423549
0,0,0,2,2423649
4.55,540.75,2163,4,2423709
3.6,8,8,1,2423713
4.3,1943,1943,1,2423715
3.95,140,280,2,2423839
3.1,8,8,1,2423895
4.1,98,490,5,2423902
4.35,78.5,157,2,2423951
4.5,48,48,1,2423988
4.2,12,24,2,2423991
4.5,259,259,1,2424089
4.1,375,750,2,2424148
4.1,218.5,874,4,2427620
4.7,153,153,1,2427736
3.95,318.5,637,2,2427778
3.9,51,153,3,2427793
1.9,14.5,29,2,2427927
2.1,200,400,2,2427931
3.9,94,188,2,2427988
5,4,4,1,2428021
4.5,419.4,2097,5,2428063
3,203,406,2,2428079
3.9,109,109,1,2428286
4.4,438,438,1,2428384
3.9,26,26,1,2428450
5,5,15,3,2428612
3.85,130.5,522,4,2428725
4.5,511,1022,2,2428838
4.6,5,5,1,2428843
4.6,106,106,1,2429057
4.5,441,441,1,2429193
4.6,342,342,1,2431672
4.4,701,701,1,2431721
4.6,209.67,629,3,2431840
4.3,34,68,2,2431870
4.3,448,896,2,2431876
0,0,0,1,2431887
4.3,257,257,1,2431903
3.2,9,27,3,2432095
5,2,2,1,2432155
0,0,0,1,2432158
4.1,63,126,2,2432280
4.3,256,512,2,2432331
4.18,581.75,4654,8,2432389
4.5,774,774,1,2432410
5,1,1,1,2432475
4.1,14,42,3,2432534
4.5,569,1138,2,2432567
4.3,511,511,1,2432600
4.45,447.5,895,2,2432626
4.4,108,108,1,2432635
4.5,517,517,1,2432644
4.45,9.5,19,2,2432721
3.8,131.5,263,2,2432754
4.6,51,51,1,2432857
4.1,439,1317,3,2432878
4.7,104,104,1,2432899
4.6,238,714,3,2432907
2.85,36.5,73,2,2432923
4.2,98,98,1,2433002
4.2,5,15,3,2433019
4.6,204,204,1,2433076
4.6,879,879,1,2433117
4.3,290,290,1,2433163
4.3,291,582,2,2437092
4.37,1087,3261,3,2437116
4.3,6,6,1,2437117
4.8,53,53,1,2437167
4.8,53,53,1,2437168
4.2,230,460,2,2437219
4.6,379,379,1,2437247
4.15,627,1254,2,2437275
4.4,1379,1379,1,2437279
4.1,223,223,1,2437286
4.7,302,604,2,2437297
4.37,550.33,1651,3,2437331
3.5,1267.2,6336,5,2437382
4.4,217,651,3,2437391
4.4,1472,1472,1,2437403
4.5,216,216,1,2437425
4.5,952,1904,2,2437491
4.4,219,219,1,2437509
4.1,447.5,3580,8,2437524
4.55,67,134,2,2437540
4.55,67,134,2,2437541
4.6,48,48,1,2437591
4.4,1619.5,3239,2,2437640
4.4,217,217,1,2437653
2.84,7.2,36,5,2437677
4.7,24,48,2,2437682
3.8,1115.56,10040,9,2437697
4.5,48,96,2,2437716
3.56,94.57,662,7,2437823
4,642.25,2569,4,2437850
4.25,431,1724,4,2437860
4.1,231,693,3,2437868
0,0,0,1,2437890
4.3,275,275,1,2438002
4,129,129,1,2438017
4.6,339,339,1,2438029
3.86,265.57,1859,7,2438111
4.2,85,170,2,2438130
4.48,293.78,2644,9,2438187
4.2,13,26,2,2438191
3.7,6.67,20,3,2442356
4,251,753,3,2442373
4.9,39,78,2,2442374
4.5,135,135,1,2442377
4.1,219,219,1,2442390
4.1,121,121,1,2442496
4.42,929.75,3719,4,2442541
4.5,196,196,1,2442571
4.4,128,512,4,2442669
5,2,2,1,2442714
3.9,1352,5408,4,2442794
4.5,71,142,2,2442803
4.3,7,14,2,2442839
4.8,18,18,1,2442846
4.6,243,243,1,2442858
4.25,1809.5,3619,2,2442874
3.9,112,224,2,2442906
4.3,792,792,1,2442928
4.33,171,513,3,2442943
2.93,3.5,21,6,2442948
4.5,198,594,3,2443101
3.7,3,3,1,2443125
4.3,669,1338,2,2443147
5,4,8,2,2443214
5,3,3,1,2443226
4.7,175,175,1,2443251
4.7,175,175,1,2443254
4.3,42,84,2,2443323
4.5,34,68,2,2443379
3.2,5,5,1,2443459
3.9,172,172,1,2446115
4.4,356,712,2,2446154
4.5,12,12,1,2446167
4.4,62,124,2,2446233
3.8,19,19,1,2446266
4.8,12,12,1,2446366
3.61,326,2608,8,2446391
3.9,667,667,1,2446404
4.2,655,1965,3,2446407
4.6,63,63,1,2446410
4.3,105,105,1,2446443
2.1,2.5,5,2,2446479
3.16,126.11,1135,9,2446532
4.25,30,120,4,2446541
4.25,30,120,4,2446542
4.6,40,40,1,2446543
4.3,248,248,1,2446669
4.8,65,65,1,2446729
4.3,839.5,1679,2,2446779
4.4,327,327,1,2446821
4.2,510,1530,3,2446847
4.3,216,432,2,2446848
3.5,31,31,1,2446871
4,45,45,1,2446948
4.45,789.12,6313,8,2446963
4.23,930,2790,3,2447085
4.8,58,58,1,2447134
4.5,1240,2480,2,2447149
3.3,56,168,3,2447171
2.7,27,27,1,2447173
2.8,38,152,4,2447181
3.5,61,61,1,2447190
4.7,219,219,1,2447222
4.1,83,83,1,2447243
4.6,54,54,1,2447259
4.1,599,599,1,2451467
4.8,22,44,2,2451485
4.8,45,90,2,2451542
4.6,103,103,1,2451608
4.1,121,242,2,2451675
4.3,23.5,94,4,2451734
3.6,7,7,1,2451826
3.45,232,1392,6,2451874
3.9,193,193,1,2451931
5,1,2,2,2451934
3.75,309.25,1237,4,2451966
4.6,1764,1764,1,2451974
4.9,15,30,2,2451984
4.2,5,15,3,2452000
4.3,898.5,1797,2,2452010
4.7,351,351,1,2452080
3.7,20,20,1,2452160
4.5,1085,1085,1,2452173
4.4,357,714,2,2452232
4.4,357,714,2,2452233
4.2,1296,2592,2,2452240
4.1,37,74,2,2452250
