Average of Ratings,Average Number of Reviews,Total Number of Reviews,Total Returned,Data License
3.75,649.25,2597,4,31037.0
0.0,0.0,0,2,31071.0
4.2,126.0,252,2,31079.0
3.6,20.0,40,2,31081.0
1.8,10.0,20,2,31082.0
4.3,807.0,807,1,31100.0
2.5,8.0,8,1,31101.0
3.7,3.0,3,1,31111.0
4.43,11.33,34,3,31141.0
3.4,19.0,19,1,31151.0
3.1,7.0,7,1,31161.0
4.7,11.0,11,1,31181.0
4.4,646.0,646,1,31190.0
4.4,30.0,30,1,31211.0
3.8,5.0,10,2,31221.0
4.3,614.0,614,1,31223.0
2.5,15.0,30,2,31251.0
3.9,31.5,63,2,31261.0
3.5,24.0,24,1,31281.0
3.87,90.33,271,3,31563.0
4.3,385.0,385,1,31675.0
4.5,198.0,396,2,31749.0
4.2,102.0,102,1,31758.0
4.6,56.0,56,1,31782.0
4.7,35.0,35,1,31999.0
4.5,12.0,24,2,32011.0
4.0,22.0,22,1,32021.0
4.3,37.0,37,1,32031.0
3.9,21.0,21,1,32081.0
4.4,349.0,349,1,32111.0
4.3,257.0,257,1,32236.0
4.3,237.0,474,2,32246.0
4.4,206.0,206,1,32261.0
4.57,90.67,544,6,32350.0
4.7,168.0,168,1,32359.0
4.3,2392.0,2392,1,32388.0
4.3,2392.0,2392,1,32394.0
4.3,47.0,94,2,32672.0
4.6,134.0,402,3,32728.0
4.4,106.0,106,1,32761.0
4.0,267.0,267,1,32834.0
4.5,544.0,544,1,32843.0
4.45,246.0,492,2,32881.0
4.3,183.0,183,1,32939.0
4.55,696.5,1393,2,33114.0
4.0,19.0,19,1,33141.0
4.43,387.0,2322,6,33196.0
4.7,34.0,34,1,33267.0
4.5,14.0,14,1,33349.0
4.0,76.0,76,1,33440.0
4.0,28.0,28,1,33473.0
4.3,102.0,102,1,33511.0
2.1,5.0,20,4,33554.0
4.3,59.0,59,1,34078.0
3.0,11.0,11,1,34135.0
2.7,250.0,250,1,34139.0
3.0,56.0,56,1,34146.0
3.2,827.0,827,1,34169.0
3.95,796.0,1592,2,34183.0
4.0,991.0,991,1,34185.0
3.0,215.0,430,2,34199.0
3.8,225.0,225,1,34203.0
3.3,141.0,141,1,34205.0
3.5,7217.0,7217,1,34211.0
3.3,141.0,141,1,34212.0
3.5,7220.0,7220,1,34219.0
4.5,436.0,436,1,34224.0
3.11,1151.71,8062,7,34227.0
3.5,7217.0,7217,1,34228.0
3.3,141.0,141,1,34229.0
2.1,40.0,40,1,34244.0
4.7,302.0,604,2,34305.0
4.0,16.25,65,4,34512.0
3.0,1.0,2,2,34777.0
3.2,14.0,14,1,35062.0
4.05,392.5,785,2,35088.0
4.16,57.6,288,5,35095.0
4.3,193.5,774,4,35448.0
4.4,182.0,728,4,35522.0
4.5,207.0,207,1,35640.0
4.2,138.0,138,1,35697.0
4.7,55.0,55,1,35960.0
4.4,158.5,317,2,35999.0
4.8,348.0,696,2,36126.0
5.0,1.0,1,1,36194.0
4.1,874.0,3496,4,36240.0
4.7,280.0,280,1,36251.0
4.27,687.0,4122,6,36306.0
4.3,304.0,304,1,36411.0
3.95,1295.5,2591,2,36651.0
3.4,461.5,1846,4,36690.0
4.5,150.0,300,2,36760.0
4.6,335.0,335,1,36890.0
4.1,447.5,895,2,36908.0
4.1,131.0,262,2,36997.0
4.1,358.0,716,2,37002.0
4.5,496.0,992,2,37096.0
4.13,280.67,1684,6,37209.0
4.4,173.0,173,1,37212.0
4.4,334.0,334,1,37220.0
3.9,49.0,49,1,37337.0
4.15,87.0,174,2,37527.0
4.5,86.0,86,1,37548.0
4.1,158.0,316,2,37591.0
4.2,76.0,76,1,37611.0
4.37,1643.0,9858,6,37655.0
4.37,1643.0,9858,6,37656.0
4.5,166.0,166,1,37708.0
3.9,126.0,252,2,37735.0
1.39,254.0,2286,9,37788.0
4.25,55.0,220,4,37835.0
4.5,803.0,803,1,37844.0
4.3,472.0,1416,3,37853.0
4.2,885.17,5311,6,37909.0
4.2,885.17,5311,6,37911.0
4.2,194.67,1168,6,38125.0
4.4,203.0,203,1,38279.0
4.5,132.0,132,1,38365.0
4.6,161.0,161,1,38456.0
3.9,578.5,1157,2,38764.0
4.3,16.0,16,1,38776.0
4.2,167.0,334,2,38844.0
4.5,265.0,265,1,38964.0
4.6,196.0,196,1,39117.0
4.2,464.0,464,1,39259.0
4.2,166.0,166,1,39265.0
4.6,548.0,548,1,39365.0
4.6,26.0,26,1,39650.0
4.6,82.0,164,2,39707.0
4.63,154.33,463,3,39774.0
4.3,203.0,609,3,39845.0
4.3,327.0,981,3,39851.0
3.4,174.5,698,4,40155.0
4.3,228.0,456,2,40337.0
4.1,815.0,815,1,40422.0
4.6,327.0,654,2,40543.0
4.2,885.17,5311,6,40565.0
4.63,1904.0,5712,3,40668.0
2.67,34.33,103,3,40718.0
4.6,383.0,1149,3,40864.0
4.2,317.0,317,1,40902.0
4.15,323.0,1292,4,40974.0
4.2,14.0,14,1,41041.0
4.7,3.0,3,1,41051.0
3.0,11.0,11,1,41061.0
2.6,49.0,49,1,41081.0
4.0,8.0,8,1,41091.0
4.2,62.0,62,1,41111.0
3.8,24.0,24,1,41121.0
4.1,102.0,306,3,41243.0
4.19,378.75,3030,8,41725.0
4.7,15.0,15,1,41768.0
4.4,776.0,1552,2,41816.0
4.0,578.17,3469,6,41894.0
4.0,578.17,3469,6,41897.0
4.5,915.0,1830,2,41980.0
4.3,160.0,480,3,42143.0
4.3,219.0,438,2,42172.0
4.1,67.0,201,3,42492.0
4.1,64.0,64,1,42618.0
4.18,1922.83,11537,6,42878.0
4.25,453.0,906,2,43048.0
4.6,852.0,852,1,43102.0
4.0,1526.0,3052,2,43114.0
4.34,897.57,6283,7,43281.0
4.27,818.0,2454,3,43518.0
4.7,316.0,316,1,43697.0
4.6,276.0,552,2,43956.0
4.4,253.0,253,1,44026.0
4.13,276.33,829,3,44264.0
4.2,306.0,2448,8,44336.0
4.6,151.0,302,2,44501.0
4.4,1237.0,2474,2,44615.0
4.4,234.0,936,4,44701.0
4.2,1350.0,2700,2,44712.0
4.3,149.0,149,1,44723.0
4.45,1422.12,11377,8,44793.0
4.1,251.0,502,2,44826.0
4.15,696.25,2785,4,44899.0
2.67,2.67,8,3,44997.0
4.4,106.0,212,2,45044.0
4.55,110.5,221,2,45131.0
4.7,556.0,2224,4,45189.0
3.2,19.0,19,1,45211.0
4.4,182.0,364,2,45628.0
4.2,364.0,364,1,45693.0
3.9,26.0,26,1,46021.0
4.1,37.0,37,1,46031.0
3.9,94.0,188,2,46041.0
4.6,49.0,98,2,46061.0
3.4,23.0,23,1,46081.0
3.8,20.0,60,3,46111.0
4.3,16.0,16,1,46121.0
2.5,41.0,41,1,46131.0
3.6,25.0,25,1,46141.0
3.7,69.0,69,1,46181.0
3.2,26.0,26,1,46191.0
4.3,50.0,50,1,46211.0
3.5,43.0,129,3,46251.0
4.3,47.0,47,1,46271.0
